Model Path,Model Base,Image File URL,Prompt,Response
/content/drive/MyDrive/LLaVA/Checkpoints/checkpoints/gllava-v1.5-13b-20k-lora-xyt,liuhaotian/llava-v1.5-13b,https://gameplay.taesiri.xyz/grouped_dataset/group_67/790684e7-9561-4ac2-8758-20a9104e6cd2.jpeg,"<image>
describe the image","<s> The image appears to be a still from a video game or an animated film, featuring a character dressed in a red and blue costume that resembles the iconic Spider-Man suit. The character has a concerned expression on his face, with visible bruises and cuts on his cheeks, suggesting he has been in a fight. He is looking down at another character who is lying in a hospital bed, hooked up to an oxygen tank. This character has a pale complexion and is unconscious, with a tube inserted into their mouth, indicating they are not breathing on their own. The hospital room is decorated with various posters and drawings, including one that looks like a family tree, and there is a vase with pink flowers on a table. The lighting is dim, and the overall tone of the image is somber. The image appears to be a still from a video game or an animated film, featuring a character dressed in a red and blue costume that resembles the iconic Spider-Man suit. The character has a concerned expression on his face, with visible bruises and cuts on his cheeks, suggesting he has been in a fight. He is looking down at another character who is lying in a hospital bed, hooked up to an oxygen tank. This character has a pale complexion and is unconscious, with a tube inserted into their mouth, indicating they are not breathing on their own. The hospital room is decorated with various posters and drawings, including one that looks like a family tree, and there is a vase with pink flowers on a table. The lighting is dim, and the overall tone of the image is somber.</s>"
/content/drive/MyDrive/LLaVA/Checkpoints/checkpoints/gllava-v1.5-13b-20k-lora-xyt,liuhaotian/llava-v1.5-13b,https://gameplay.taesiri.xyz/grouped_dataset/group_67/790684e7-9561-4ac2-8758-20a9104e6cd2.jpeg,"<image>
gimme a 1 line description of the image","<s>  The image shows a scene from the video game ""Marvel's Spider-Man"". The superhero Spider-Man is in a hospital room, looking at a woman who is lying in a hospital bed. The woman is unconscious and has a tube in her nose. Spider-Man is wearing his advanced suit with his classic red and blue colors with the addition of a white spider logo. He has a determined look on his face as he looks at the woman. The background of the room is blurry, but it looks like there are pictures and other medical equipment in the room.</s>"
/content/drive/MyDrive/LLaVA/Checkpoints/checkpoints/gllava-v1.5-13b-20k-lora-xyt,liuhaotian/llava-v1.5-13b,https://gameplay.taesiri.xyz/grouped_dataset/group_67/790684e7-9561-4ac2-8758-20a9104e6cd2.jpeg,"<image>
what is written on the image?","<s> The image is a screenshot from a video game, specifically from the game 'Marvel's Spider-Man'.</s>"
/content/drive/MyDrive/LLaVA/Checkpoints/checkpoints/gllava-v1.5-13b-20k-lora-xyt,liuhaotian/llava-v1.5-13b,https://gameplay.taesiri.xyz/grouped_dataset/group_67/790684e7-9561-4ac2-8758-20a9104e6cd2.jpeg,"<image>
what is on the left side of the image?",<s> A young girl is lying in a hospital bed with an oxygen tube in her nose.</s>
/content/drive/MyDrive/LLaVA/Checkpoints/checkpoints/gllava-v1.5-13b-20k-lora-xyt,liuhaotian/llava-v1.5-13b,https://gameplay.taesiri.xyz/grouped_dataset/group_62/148e8520-ffb4-433c-ad99-5b185005603c.jpeg,"<image>
describe the image","<s> The image appears to be a screenshot from a video game, likely from a Western-themed game given the attire of the characters and the setting. In the foreground, there's a character wearing a brown hat and a brown coat, looking up towards another character who is standing on a wooden structure. This second character is wearing a blue coat with a fur collar, a brown vest, and a white shirt underneath. He has a gun holster on his right hip and is holding onto a wooden beam with his left hand. His right hand is resting on his hip.In the background, there's a snowy landscape with mountains in the distance. The sky is partly cloudy, and the lighting suggests it's either dawn or dusk. There's a wooden building with a sloped roof to the right, and the ground is covered in snow. The overall color palette is cold, with a lot of blues and whites, which adds to the wintry atmosphere. There's a subtitle at the bottom of the image that reads, ""So the questions is, where is it?"" indicating that this is a moment from a narrative within the game. The image appears to be a screenshot from a video game, likely from a Western-themed game given the attire of the characters and the setting. In the foreground, there's a character wearing a brown hat and a brown coat, looking up towards another character who is standing on a wooden structure. This second character is wearing a blue coat with a fur collar, a brown vest, and a white shirt underneath. He has a gun holster on his right hip and is holding onto a wooden beam with his left hand. His right hand is resting on his hip. In the background, there's a snowy landscape with mountains in the distance. The sky is partly cloudy, and the lighting suggests it's either dawn or dusk. There's a wooden building with a sloped roof to the right, and the ground is covered in snow. The overall color palette is cold, with a lot of blues and whites, which adds to the wintry atmosphere. There's a subtitle at the bottom of the image that reads, ""So the questions is, where is it?"" indicating that this is a moment from a narrative within the game.</s>"
/content/drive/MyDrive/LLaVA/Checkpoints/checkpoints/gllava-v1.5-13b-20k-lora-xyt,liuhaotian/llava-v1.5-13b,https://gameplay.taesiri.xyz/grouped_dataset/group_62/148e8520-ffb4-433c-ad99-5b185005603c.jpeg,"<image>
gimme a 1 line description of the image",<s>  The image shows a man standing on a wooden platform in the snow. He is wearing a blue coat and a brown hat. He is looking down at another man who is sitting on the ground. The man on the ground is wearing a brown coat and a brown hat. He has a gun in his hand. There is a large rock in the background.</s>
/content/drive/MyDrive/LLaVA/Checkpoints/checkpoints/gllava-v1.5-13b-20k-lora-xyt,liuhaotian/llava-v1.5-13b,https://gameplay.taesiri.xyz/grouped_dataset/group_62/148e8520-ffb4-433c-ad99-5b185005603c.jpeg,"<image>
what is written on the image?","<s> The text 'So the questions is, where is the mine?' is written at the bottom of the image.</s>"
/content/drive/MyDrive/LLaVA/Checkpoints/checkpoints/gllava-v1.5-13b-20k-lora-xyt,liuhaotian/llava-v1.5-13b,https://gameplay.taesiri.xyz/grouped_dataset/group_62/148e8520-ffb4-433c-ad99-5b185005603c.jpeg,"<image>
what is on the left side of the image?","<s> On the left side of the image, there is a man wearing a brown hat and a brown coat, looking up at the man standing on the wooden structure.</s>"
/content/drive/MyDrive/LLaVA/Checkpoints/checkpoints/gllava-v1.5-13b-20k-lora-xyt,liuhaotian/llava-v1.5-13b,https://gameplay.taesiri.xyz/grouped_dataset/group_30/7d85c0d4-e4ce-409a-9a72-f63c56eceee3.jpeg,"<image>
describe the image","<s> The image appears to be a screenshot from a video game, specifically a dark and atmospheric scene set in a library or study. The environment is dimly lit, with the primary light source coming from a glowing object on a table in the foreground. This object emits a soft blue light, casting a cool glow on the surrounding area.In the center of the image, there is a character dressed in what seems to be medieval or fantasy-inspired armor, with a cape or cloak that has a feathered or fur-lined trim. The character is facing away from the camera, looking towards a large, ornate doorway that leads to a brighter area. The doorway is framed by two tall, arched windows with a stained glass design, through which a faint light can be seen.The walls of the room are made of large, rough-hewn stone blocks, and there are bookshelves filled with books on both sides of the room. The books are of various sizes and colors, suggesting a diverse collection. The shelves are not uniform, with some being taller than others, and they are not neatly arranged. There is a sense of disarray, as if the books have been hastily placed or are not well-maintained.On the left side of the image, there is a small wooden table with a single object on it, which is not clearly visible due to the lighting. The table is made of simple, sturdy wood, and it blends into the rustic aesthetic of the room.The floor is not fully visible, but it appears to be made of stone or a similar material, consistent with the walls. The overall atmosphere of the image is one of mystery and ancient knowledge, with a hint of danger or foreboding suggested by the character's posture and the dim lighting.The image is watermarked with the text ""SHIRRAKO,"" which is likely the username of the person who captured the screenshot or the channel that broadcast the gameplay. The image appears to be a screenshot from a video game, specifically a dark and atmospheric scene set in a library or study. The environment is dimly lit, with the primary light source coming from a glowing object on a table in the foreground. This object emits a soft blue light, casting a cool glow on the surrounding area. In the center of the image"
/content/drive/MyDrive/LLaVA/Checkpoints/checkpoints/gllava-v1.5-13b-20k-lora-xyt,liuhaotian/llava-v1.5-13b,https://gameplay.taesiri.xyz/grouped_dataset/group_30/7d85c0d4-e4ce-409a-9a72-f63c56eceee3.jpeg,"<image>
gimme a 1 line description of the image",<s>  The image is a screenshot from the video game Elden Ring. It shows a dark room with a large door in the center. The door is made of stone and has a glowing blue symbol on it. There are two sconces on either side of the door. The room is lit by a few torches.</s>
